충전소명,위도,경도
방학4단지신동아,37.662668,127.029171
삼육대학교,37.643011,127.108412
화랑타운,37.623527,127.088218
월계청백1단지 아파트,37.634786,127.052612
월계동세양청마루 아파트,37.620659,127.060729
효성하이타운,37.661264,127.033065
북한산코오롱하늘채 아파트,37.648403,127.02286
공릉풍림아파트,37.629093,127.067499
중계경남롯데상아 아파트,37.638929,127.063001
도봉현대성우 아파트,37.67628,127.047334
창동수산트리플 아파트,37.640412,127.034277
롯데우성 아파트,37.646994,127.073504
중계현대2차 아파트,37.656072,127.073635
공릉대동 아파트,37.620056,127.072536
방학극동 아파트,37.66396,127.02672
홈플러스 방학점,37.666096,127.044742
미주동방벽운 아파트,37.681033,127.05576
중계센트럴파크,37.643296,127.059732
창동대동 아파트,37.661553,127.043888
창동쌍용 아파트,37.659787,127.048115
창동주공19단지,37.650618,127.052432
동아에코빌 아파트,37.681792,127.047134
방학우성1차 아파트,37.657365,127.024179
창동2차현대아파트,37.660905,127.04586
수락리버시티3단지,37.687134,127.05443
동진신안 아파트,37.650163,127.078652
방학명품ESA2단지,37.666546,127.045881
창동3차현대아파트,37.659689,127.045917
중계건영3차아파트,37.648587,127.074654
도봉구민회관,37.653778,127.038292
쌍문한양6차 아파트,37.656002,127.02944
동아청솔아파트,37.657032,127.048139
노원도봉지사,37.65391794,127.0556667
상계동아불암아파트,37.666731,127.079439
공릉동부 아파트,37.628002,127.078863
브라운스톤휘경,37.590314,127.067067
휘경베스트빌현대,37.58138,127.07448
신내테크노타운,37.60400228,127.0877352
우림골목시장 주차장,37.59675452,127.0982746
청량리역사(한화역사),37.58080881,127.0480301
신내우디안1단지,37.615905,127.106407
브라운스톤태릉 아파트,37.618759,127.0832
중랑숲리가 아파트,37.602797,127.105585
신내7단지진로아파트,37.613765,127.093248
답십리래미안위브1블럭,37.571654,127.054289
휘경주공1단지,37.582369,127.071263
면목3동 공영주차장,37.580936,127.093469
신내건영1차 아파트,37.604091,127.093513
전농sk 아파트,37.577205,127.061375
"면목두산4,5단지 아파트",37.578257,127.081497
청솔우성,37.575381,127.060661
동대문중랑지사,37.607357,127.079493
답십리래미안위브2블럭,37.570246,127.052799
래미안엘파인 아파트,37.575396,127.065356
상봉우정 아파트,37.599174,127.088602
회기동 공영주차장,37.591342,127.055959
배봉공영주차장,37.587324,127.062235
힐스테이트청계,37.571543,127.045904
한일써너스빌 아파트,37.597381,127.091548
이문쌍용아파트,37.600003,127.068641
"면목두산2,3차 아파트",37.579941,127.082863
중랑해모로 아파트,37.602967,127.110188
면목두원 아파트,37.573237,127.080024
신내LG쌍용아파트,37.603189,127.090379
동일스위트리버,37.587382,127.068375
묵동자이1단지 아파트,37.615072,127.077807
묵동자이2단지 아파트,37.613536,127.077586
장안힐스테이트 아파트,37.575956,127.07542
태릉시장 중화공영주차장,37.59753308,127.0747761
용산파크자이아파트,37.53663726,126.9725935
마포한강2차 푸르지오아파트,37.55111142,126.9119166
마포도화우성아파트,37.536343,126.948545
마포중앙도서관,37.56378915,126.908449
상암월드컵경기장,37.56838316,126.8949428
래미안밤섬리베뉴1 아파트,37.546107,126.924993
용산한신 아파트,37.540132,126.986764
마포한강푸르지오1차,37.549915,126.912238
쌍용황금,37.537126,126.94564
e편한세상마포리버파크,37.541996,126.943692
프라임팰리스,37.536688,126.969599
용산더프라임,37.539693,126.969936
롯데캐슬프레지던트,37.544865,126.950739
창전삼성 아파트,37.551292,126.931494
대명 아파트,37.561672,126.92361
전쟁기념관,37.536754,126.977161
대우월드마크용산,37.53717561,126.972985
신촌포스빌,37.5563,126.942237
마포대림1차 아파트,37.540191,126.94172
마포래미안푸르지오 4단지,37.552737,126.953164
상암월드컵파크3단지,37.573609,126.889656
국립 중앙 박물관,37.524561,126.977211
한남동현대하이페리온,37.527513,127.005005
래미안밤섬리베뉴2,37.546535,126.928136
마포래미안푸르지오 1단지,37.555274,126.95395
공덕파크자이2단지,37.545397,126.946673
용산아크로타워,37.536829,126.968616
마포자이2차아파트,37.549151,126.942372
브라운스톤공덕 아파트,37.541422,126.955566
파크타워 아파트,37.524518,126.970654
청암자이 아파트,37.534841,126.947209
한강삼성 아파트,37.539554,126.941169
중부전력지사,37.54426415,126.9164414
성지(주상복합) 아파트,37.541242,126.94639
용산시티파크1단지,37.52434,126.970394
이안용산프리미어,37.538449,126.970428
공덕파크자이1단지,37.544543,126.948461
서울신용보증재단,37.54902113,126.9540012
마포래미안푸르지오 2단지,37.553968,126.954621
마포래미안푸르지오 3단지,37.554041,126.951517
래미안첼리투스,37.516747,126.97943
공덕아이파크아파트,37.544725,126.955795
리첸시아용산B블록,37.537949,126.96833
LG한강자이 아파트,37.519278,126.970777
마포트라팰리스2차,37.552198,126.955541
한국타이어 한남점,37.535905,127.006358
용산전자상가1 공영주차장,37.531767,126.965127
용산역 아이파크몰,37.53054904,126.9651655
리첸시아 아파트,37.538278,126.967441
용산이안 아파트,37.537157,126.969576
동아그린 아파트,37.523167,126.957891
메세나폴리스 아파트,37.551047,126.913787
신공덕3삼성래미안,37.545549,126.956782
한강대우,37.522509,126.970087
마포용산지사,37.542199,126.947182
서울서부지방검찰청,37.54961544,126.9554556
래미안마포리버웰,37.542217,126.94196
한국프라우드아파트,37.60627303,126.9156965
DMC아이파크 아파트,37.575441,126.914327
서울특별시은평병원 주차장,37.594371,126.923464
홍은1동 제4공영주차장,37.601242,126.949425
서부수도사업소,37.58289026,126.9523507
연희동 홍연2교 옆 노상주차장,37.57751206,126.9310401
서북병원,37.604605,126.905244
연희대우 아파트,37.561663,126.929552
꿈에그린,37.639769,126.919924
인왕산한신휴플러스,37.585056,126.94746
무악청구2차 아파트,37.580972,126.951218
응암3동 공영주차장,37.593538,126.915227
DMC래미안e편한세상,37.572233,126.909946
서대문은평지사,37.605443,126.933577
돈의문센트레빌 아파트,37.566245,126.962026
은평뉴타운우물골6단지,37.63524,126.924976
은평스카이뷰자이아파트,37.63490113,126.9177912
DMC센트럴아이파크아파트,37.57936243,126.9208403
연세대학교,37.56050463,126.9370544
남가좌삼성 아파트,37.578272,126.916603
연희동성원아파트,37.57626,126.939017
은평평화공원 공영주차장,37.604979,126.923072
연세세브란스 에비슨의생명 연구센터,37.56401897,126.9423457
서울전력관리처,37.560735,126.987795
국립현대미술관 서울관,37.579613,126.98038
창신이수 아파트,37.577875,127.014538
신세계 본점,37.56091408,126.9810817
효성주얼리시티,37.571415,126.998657
롯데캐슬천지인,37.573867,127.016161
광화문스페이스본 아파트,37.57424,126.96871
서울직할,37.565199,126.983339
LIG서울역리가아파트,37.555975,126.966934
한국관광공사 옆 노상 공영주차장,37.568226,126.981962
남산케이블카,37.556417,126.984586
롯데캐슬베네치아,37.571042,127.020992
인왕산2차아이파크,37.575769,126.959533
덕수궁 롯데캐슬,37.563699,126.97025
서울시청,37.56637355,126.9778233
무악현대 아파트,37.575074,126.959929
남산센트럴자이,37.56247,126.997827
동성빌라,37.611634,126.958662
동대문디자인플라자,37.566821,127.009603
경희궁의아침3단지 아파트,37.573369,126.972271
창신쌍용2단지 아파트,37.580271,127.011826
석탄회관,37.57282,126.980218
창신두산 아파트,37.574219,127.014312
쌍용남산플래티넘 아파트,37.55941334,126.9832223
남산타운 아파트,37.546659,127.006507
남산롯데캐슬아이리스 아파트,37.55822,126.982114
명륜아남1차 아파트,37.585634,126.999562
SK렌터카 본사,37.56947437,126.987209
종로센트레빌,37.580628,127.016222
묵정공원 공영주차장,37.56391591,127.0002858
국립중앙극장,37.55287104,127.0001308
서울대학교병원 장례식장주차장,37.58004369,126.9969348
전국은행연합회,37.56494424,126.985558
서울대학교병원 암병동 주차장,37.57878907,126.9976056
서울대학교병원 대한외래병동주차장,37.57879132,126.9975632
서울역(한화역사),37.55465586,126.9715231
약수동공영주차장,37.55215717,127.0131473
인재개발원,37.6351988,127.0873634
